Machine_ID,Temperature,Pressure,Vibration,Humidity,Power_Consumption,Failure
37,77.56,109.07,3.49,69.57,238.15,0
1,56.04,137.36,2.35,27.64,219.66,0
38,104.27,123.67,7.67,76.48,272.8,1
22,101.88,107.37,2.52,72.26,181.78,0
41,70.46,97.19,2.26,39.53,231.4,0
9,59.01,137.99,4.42,56.36,284.82,0
2,67.89,117.26,3.21,75.83,267.47,0
28,85.91,136.29,4.55,27.73,280.98,0
20,78.14,121.32,2.17,33.84,240.88,0
6,72.96,121.79,3.42,20.55,262.7,0
49,67.61,92.29,4.09,55.12,287.54,0
34,71.31,100.11,3.02,44.14,180.15,0
23,90.15,183.68,6.47,28.61,308.16,1
24,58.99,114.09,2.68,50.12,239.01,0
39,122.1,143.31,5.66,73.86,280.05,1
49,95.87,176.48,5.77,35.73,350.43,1
50,89.86,160.77,3.62,46.03,266.69,1
16,100.49,173.92,7.2,77.13,390.8,1
1,81.95,142.81,4.39,39.7,228.84,0
13,75.78,138.77,3.4,52.44,358.92,0
44,103.83,165.0,5.57,67.56,295.31,1
7,104.47,149.23,6.85,77.87,285.27,1
45,97.41,140.13,4.8,47.24,194.24,1
40,82.91,136.02,6.21,27.49,362.16,1
19,106.67,142.16,6.82,48.16,357.82,1
6,100.68,137.84,5.4,25.09,339.62,1
17,65.24,115.52,3.16,42.04,285.07,0
43,97.3,134.66,6.22,49.01,264.6,1
6,76.4,165.11,7.03,42.91,294.65,1
27,87.09,115.09,2.28,23.12,194.74,0
50,97.96,172.3,6.65,38.22,350.84,1
23,90.48,128.4,4.95,47.32,277.24,0
6,98.14,156.35,6.31,37.27,289.32,1
2,91.59,149.45,6.13,51.97,323.08,1
14,69.49,110.74,4.0,29.44,253.31,0
17,76.89,146.68,3.73,66.35,259.37,0
1,105.14,166.55,8.01,58.05,377.11,1
33,75.65,97.89,1.99,50.59,228.69,0
29,106.16,153.23,8.36,29.93,419.58,1
46,68.97,134.5,3.51,49.05,261.73,0
20,102.87,159.3,4.96,35.16,291.8,1
35,87.97,164.42,6.16,60.9,239.55,1
28,62.73,98.99,3.88,30.02,267.89,0
35,100.58,150.94,7.8,50.91,416.9,1
29,75.8,181.68,4.97,34.11,341.66,1
25,75.47,128.1,1.73,62.53,280.16,0
13,74.14,92.24,4.06,49.78,241.38,0
33,103.98,167.53,5.48,51.65,405.01,1
23,81.09,124.23,3.23,35.46,205.15,0
5,75.83,129.53,1.74,35.57,267.34,0
48,92.88,180.42,5.65,69.95,337.81,1
12,79.53,126.22,2.75,40.74,230.19,0
41,85.84,110.14,4.21,36.83,223.56,0
20,87.78,142.79,5.69,79.63,354.85,1
31,100.23,142.93,6.03,73.44,345.88,1
37,75.75,133.22,3.67,64.98,213.95,0
32,88.38,145.36,5.63,56.5,374.41,1
32,91.09,95.21,5.24,65.07,347.81,1
5,81.29,113.06,2.8,57.75,273.84,0
39,101.64,130.01,4.04,46.39,370.47,1
39,94.75,111.41,2.23,64.67,224.84,0
35,87.15,115.58,3.6,52.2,234.74,0
43,56.67,119.97,4.11,48.52,321.91,0
25,115.75,159.8,7.74,40.04,307.46,1
8,96.7,173.53,9.02,26.45,434.74,1
38,71.03,129.74,5.41,33.18,250.44,0
48,61.35,109.4,3.67,43.42,296.46,0
1,106.51,135.63,7.23,37.68,368.08,1
46,94.57,108.16,4.46,40.75,249.43,0
7,114.99,148.66,7.16,66.76,313.2,1
38,91.38,144.89,6.95,51.43,406.45,1
11,76.18,117.45,4.17,66.77,212.1,0
2,55.63,126.41,3.36,31.61,277.48,0
17,54.7,133.42,4.21,27.05,298.62,0
28,98.51,154.84,6.32,67.69,384.64,1
36,80.37,104.3,3.1,36.1,274.27,0
9,96.3,141.84,7.13,59.68,245.42,1
31,108.51,139.02,10.27,56.56,373.13,1
36,87.57,145.33,5.37,32.56,188.91,0
37,80.0,137.84,3.12,56.8,279.63,0
33,64.69,128.07,3.59,24.66,206.39,0
8,91.21,160.58,5.66,34.65,238.22,1
23,66.68,138.36,3.72,28.47,304.62,0
35,84.78,130.91,6.51,41.31,322.27,1
27,110.78,157.71,9.1,60.11,342.77,1
24,63.44,147.14,3.52,27.31,219.15,0
44,95.07,141.31,6.94,71.01,392.61,1
16,94.39,150.53,6.28,52.72,367.8,1
28,89.52,158.13,7.02,76.04,330.15,1
40,97.23,114.03,3.68,23.95,287.97,0
46,75.15,136.44,7.39,77.94,349.38,1
27,97.58,117.64,5.51,59.14,375.9,1
4,88.82,143.41,5.51,54.1,344.92,1
31,56.36,135.23,2.58,65.98,302.48,0
27,94.96,181.41,6.9,50.8,255.62,1
50,101.15,184.97,6.93,57.77,396.78,1
45,65.89,118.27,4.92,61.35,258.54,0
26,96.64,147.26,5.92,63.28,332.61,1
49,64.23,110.55,5.52,69.01,211.93,0
12,83.02,169.06,7.77,25.38,352.71,1
33,80.06,94.23,3.9,75.89,295.05,0
2,101.75,130.32,8.51,24.6,369.77,1
2,106.59,162.69,7.54,26.4,337.88,1
32,117.6,131.09,7.67,64.03,318.62,1
25,99.36,145.2,5.98,59.69,342.8,1
13,81.49,136.98,8.22,34.2,311.25,1
16,76.15,121.68,3.43,32.92,302.6,0
26,68.53,126.03,1.34,27.89,256.17,0
33,101.13,140.73,7.43,52.04,228.98,1
18,52.27,114.34,2.62,58.53,292.92,0
42,68.36,124.04,4.14,29.66,321.46,0
32,75.19,151.55,6.85,20.6,373.37,1
33,78.17,136.11,6.09,48.77,416.29,1
35,80.68,102.23,3.62,76.84,294.23,0
36,120.76,177.1,8.76,34.39,296.79,1
38,92.44,130.24,6.82,72.92,407.95,1
24,102.71,175.11,9.23,35.75,321.92,1
18,77.62,110.55,1.18,59.82,218.74,0
11,122.94,132.02,4.76,70.55,280.9,1
43,83.57,111.51,5.07,58.83,213.77,0
30,89.64,141.76,6.65,43.47,361.07,1
43,99.06,166.13,6.44,42.87,353.97,1
43,72.64,118.88,2.25,51.1,198.61,0
13,84.2,136.93,7.9,56.47,335.21,1
23,74.98,128.08,2.84,36.96,312.25,0
16,105.64,180.75,6.51,61.66,359.45,1
28,87.98,158.87,7.2,21.87,374.47,1
48,93.28,166.22,7.52,56.45,320.47,1
23,71.3,118.75,3.1,38.21,298.72,0
20,67.89,122.32,4.26,31.62,258.18,0
8,65.56,132.46,2.12,58.03,252.44,0
14,106.71,174.73,7.01,55.77,335.53,1
18,83.31,134.14,5.23,24.98,136.45,0
40,86.79,162.37,6.74,77.99,220.46,1
8,83.28,86.46,1.99,30.54,250.21,0
8,72.95,115.56,2.69,65.05,240.82,0
4,106.71,170.36,6.89,78.52,317.62,1
5,67.41,106.57,0.79,63.2,251.0,0
6,52.92,136.25,2.53,76.16,251.33,0
21,96.07,158.79,9.12,27.39,366.35,1
46,85.47,133.9,5.11,70.17,250.43,0
16,95.48,155.6,7.76,47.07,342.3,1
38,75.57,135.07,2.8,21.35,233.32,0
32,81.19,117.81,3.84,53.95,269.07,0
28,66.8,97.09,3.67,44.01,215.58,0
10,100.86,150.11,5.86,50.87,360.81,1
49,68.12,104.42,2.51,66.13,186.18,0
11,117.01,155.56,7.85,21.26,280.35,1
30,100.64,151.52,7.89,74.91,346.8,1
31,81.7,134.85,4.4,68.37,338.73,0
39,96.29,137.35,5.99,78.0,262.12,1
3,103.49,165.81,7.67,79.57,312.64,1
11,70.89,105.06,3.37,40.31,328.19,0
9,96.98,135.25,8.58,75.31,343.37,1
4,100.22,155.64,8.07,67.75,440.29,1
21,95.74,141.84,6.28,45.5,410.28,1
44,82.82,132.42,3.25,69.31,275.04,0
46,91.19,145.71,4.61,35.81,389.52,1
38,66.6,116.52,3.2,43.01,241.45,0
8,82.96,121.05,2.23,24.44,252.73,0
28,64.58,120.5,3.24,37.68,236.93,0
1,90.15,136.07,4.31,65.91,215.45,0
13,102.7,140.64,6.15,62.45,326.35,1
26,98.26,154.89,6.75,21.58,254.76,1
39,78.65,114.51,5.97,67.53,180.78,0
10,98.12,137.01,8.21,46.12,358.07,1
49,71.22,96.35,4.02,52.18,227.02,0
23,94.61,152.51,5.09,39.24,319.76,1
2,79.48,116.69,5.14,49.16,275.86,0
17,91.23,127.5,1.21,44.6,248.18,0
1,77.14,130.87,5.5,64.37,273.7,0
15,106.91,165.61,5.04,33.78,314.8,1
4,73.16,132.3,3.95,35.4,181.39,0
47,66.6,109.72,5.35,46.98,270.05,0
42,79.7,105.07,3.63,66.22,230.38,0
20,115.18,147.11,6.29,54.4,379.02,1
33,112.1,155.08,6.12,73.89,349.62,1
19,64.68,98.74,3.76,22.91,187.05,0
19,70.55,123.32,3.91,58.49,271.09,0
33,66.14,149.56,3.47,42.01,217.15,0
29,71.33,112.02,2.78,48.41,238.37,0
11,83.75,159.45,6.83,72.22,332.36,1
15,107.21,146.09,5.43,63.49,272.81,1
24,80.11,121.05,3.03,41.29,276.11,0
20,90.78,124.19,6.32,29.41,309.68,1
40,80.67,114.95,2.77,44.22,242.23,0
44,98.37,143.92,6.74,50.35,363.73,1
2,107.22,165.9,5.28,60.98,410.45,1
26,70.99,145.43,0.39,40.02,229.57,0
4,67.99,136.16,6.24,63.22,251.23,0
8,68.35,111.93,3.97,46.37,191.85,0
22,63.27,125.15,5.84,73.41,233.54,0
23,81.56,99.82,3.65,69.78,299.99,0
23,91.55,139.87,4.52,41.27,358.52,1
49,101.78,143.75,2.24,61.29,272.3,0
49,75.68,92.48,1.12,36.49,200.84,0
28,91.6,123.1,5.71,27.27,249.68,0
35,65.56,107.5,6.61,25.26,188.75,0
4,114.96,136.28,8.58,26.38,308.27,1
44,97.84,163.43,7.8,24.94,346.64,1
31,105.44,118.45,5.01,38.75,277.87,1
5,91.27,130.0,5.76,60.78,424.75,1
45,108.27,152.97,4.25,55.73,370.19,1
40,101.74,152.75,7.29,33.05,332.0,1
20,96.32,138.25,7.87,71.36,357.5,1
22,104.68,143.25,7.37,52.37,394.77,1
44,72.93,130.22,4.12,74.57,181.99,0
15,78.82,89.03,2.74,55.97,245.05,0
17,55.4,149.09,3.01,24.75,238.83,0
20,95.0,145.23,6.03,66.48,345.67,1
50,102.93,141.54,6.96,22.76,290.72,1
32,95.31,158.88,6.35,68.45,365.27,1
21,113.99,175.09,6.76,58.74,295.06,1
22,75.33,134.94,2.42,65.23,223.07,0
1,105.21,142.75,6.57,58.52,340.07,1
43,90.31,106.2,2.94,74.18,238.23,0
21,107.9,164.26,3.86,62.0,299.9,1
33,81.0,112.51,3.63,42.14,237.46,0
14,86.71,123.82,4.24,50.23,195.41,0
21,65.13,122.77,4.03,39.47,185.09,0
5,95.14,168.84,6.31,38.56,264.35,1
32,70.38,126.5,1.48,52.94,197.9,0
24,69.91,136.09,3.74,32.67,220.25,0
43,57.99,132.11,1.53,44.3,270.56,0
14,106.78,148.23,6.82,32.93,368.34,1
39,65.57,108.03,3.65,39.53,309.94,0
48,69.66,123.92,4.07,60.14,214.7,0
39,88.97,109.85,5.49,79.73,259.79,0
6,77.65,129.13,4.79,36.65,275.21,0
9,110.59,161.07,7.99,52.62,364.19,1
27,60.95,134.56,3.7,41.33,243.9,0
42,116.65,153.8,7.61,42.78,295.73,1
34,77.22,111.7,1.61,25.46,281.94,0
34,78.62,124.23,4.95,32.63,326.2,0
49,92.39,159.13,9.49,23.87,247.69,1
22,96.13,148.51,7.01,51.89,328.26,1
9,56.64,135.75,4.69,57.91,210.57,0
34,98.97,151.22,4.78,52.45,365.88,1
15,112.91,118.18,6.34,58.18,338.78,1
27,83.39,148.76,5.78,64.07,376.74,1
41,82.78,141.44,3.59,72.28,284.54,0
31,82.21,147.3,6.91,64.79,297.41,1
25,89.97,144.63,6.32,54.48,316.75,1
29,72.47,125.53,3.38,30.98,243.02,0
6,78.84,143.96,4.02,20.55,254.05,0
36,66.35,111.61,3.94,74.36,256.12,0
34,69.01,104.82,4.88,30.27,222.16,0
34,135.26,143.28,6.46,68.49,341.79,1
45,101.7,152.34,8.4,59.53,270.42,1
35,76.68,112.69,2.95,76.91,352.63,0
37,72.93,146.19,3.31,68.07,296.97,0
40,91.16,155.14,4.97,63.52,374.81,1
33,88.64,167.2,6.79,43.31,357.97,1
20,73.69,139.34,2.41,34.44,221.46,0
22,73.66,131.27,2.32,57.29,230.51,0
30,72.37,114.74,3.38,53.11,291.94,0
13,69.17,118.37,4.69,59.29,294.74,0
21,91.65,131.93,5.41,78.95,345.81,1
22,95.97,147.67,4.87,26.67,337.86,1
47,103.9,147.17,5.71,48.8,341.7,1
43,76.98,90.54,2.79,47.38,196.74,0
40,73.41,151.03,6.59,30.72,382.07,1
46,107.75,163.52,5.46,40.33,362.14,1
36,99.2,137.33,7.3,22.23,314.37,1
47,63.27,82.52,2.79,69.24,292.3,0
10,82.34,112.61,4.26,47.3,309.24,0
36,105.74,174.31,6.4,55.04,357.49,1
21,88.13,155.84,6.51,33.52,321.34,1
16,107.45,138.84,6.1,71.18,335.21,1
5,96.76,166.38,5.98,21.03,336.17,1
22,67.01,143.86,3.53,33.86,257.38,0
41,90.88,151.9,5.43,31.99,354.56,1
48,98.43,133.78,6.68,48.3,356.55,1
40,101.23,119.37,6.36,56.57,299.25,1
25,86.99,126.05,3.66,47.61,234.41,0
33,73.98,118.48,4.95,20.04,305.61,0
7,114.16,158.33,7.98,22.15,332.75,1
25,73.49,108.66,3.74,20.78,239.18,0
37,56.64,134.94,4.2,63.14,244.63,0
44,101.15,145.0,5.04,73.52,370.77,1
37,101.83,152.89,6.12,47.34,313.43,1
14,61.49,113.19,1.22,51.47,179.79,0
46,102.98,149.26,6.36,58.59,349.23,1
50,56.06,134.06,5.18,70.0,337.74,0
41,94.75,144.05,6.24,70.71,342.92,1
21,73.36,123.27,6.04,35.03,314.02,0
35,82.8,133.8,3.0,34.94,321.4,0
10,83.48,135.4,7.88,32.5,287.18,1
29,77.93,124.36,4.65,73.71,226.26,0
35,84.58,120.42,3.13,58.69,261.99,0
16,96.2,115.34,5.73,68.52,372.64,1
25,76.09,143.87,4.57,31.42,207.15,0
17,89.47,156.74,2.44,73.67,317.72,1
36,68.83,130.38,3.19,53.4,221.17,0
36,73.19,152.46,5.29,20.32,264.39,0
44,101.66,180.72,6.32,71.17,389.82,1
8,88.24,100.08,2.81,37.24,187.84,0
35,108.04,127.01,6.54,77.21,268.68,1
25,99.63,147.59,7.05,23.3,354.13,1
33,71.97,101.19,3.28,38.19,248.4,0
50,107.45,137.44,7.56,54.33,318.28,1
21,92.7,114.62,2.09,39.62,288.72,0
31,89.63,142.09,8.34,75.48,387.58,1
32,67.77,110.43,4.47,47.38,319.54,0
24,91.41,179.87,5.68,59.73,324.19,1
47,87.66,147.06,5.54,50.07,379.34,1
28,88.07,137.82,6.51,64.83,342.27,1
26,64.61,107.46,2.46,48.25,189.53,0
10,69.27,112.22,4.09,29.75,252.31,0
1,64.02,111.58,4.53,56.47,269.78,0
34,77.21,160.83,6.99,68.16,381.02,1
33,75.15,93.31,2.69,58.2,193.14,0
30,84.28,145.95,5.83,26.18,272.84,1
36,98.64,145.33,8.29,67.61,318.83,1
42,87.06,130.38,3.31,73.38,267.74,0
4,68.11,121.01,2.12,46.54,230.81,0
29,95.31,177.45,6.3,64.4,282.59,1
27,95.29,136.92,6.44,24.23,311.9,1
18,59.3,105.05,3.11,20.23,251.97,0
44,105.39,183.85,6.76,73.34,365.6,1
22,73.65,124.24,4.25,62.36,311.78,0
18,79.3,166.71,4.19,21.93,341.63,1
8,72.0,109.31,2.97,45.66,271.58,0
32,89.26,127.94,8.27,20.73,348.98,1
40,75.39,108.01,4.14,46.56,195.26,0
43,99.75,146.57,6.96,65.22,357.38,1
50,75.06,134.59,3.74,50.02,219.24,0
33,73.39,116.16,2.49,36.07,232.95,0
29,61.08,120.66,3.56,64.92,186.83,0
5,99.1,138.06,7.58,77.04,231.89,1
47,100.39,169.42,10.09,48.27,252.92,1
1,77.24,136.73,4.86,20.5,246.25,0
25,86.68,111.01,4.85,41.3,219.95,0
4,74.87,84.35,1.83,56.87,264.84,0
41,111.94,152.09,7.2,44.05,353.78,1
30,89.85,143.87,6.34,74.7,343.54,1
10,83.99,127.58,2.47,53.64,224.09,0
17,81.05,146.35,5.46,65.75,322.17,1
4,73.77,159.28,6.78,36.94,368.43,1
13,104.13,153.5,4.69,22.56,329.6,1
36,75.16,126.02,3.01,46.04,254.46,0
17,56.98,106.62,4.53,34.68,280.8,0
26,85.13,88.28,6.03,74.11,217.27,0
43,80.79,166.81,5.04,36.96,432.17,1
2,86.88,123.78,3.84,23.67,317.46,0
18,98.26,162.96,5.08,53.02,310.28,1
49,110.11,143.64,6.54,49.91,275.61,1
48,104.75,139.09,6.28,48.89,227.27,1
6,98.87,153.27,6.45,20.57,372.04,1
14,113.14,164.95,5.52,34.44,358.29,1
12,85.09,134.23,3.69,68.31,244.41,0
1,108.85,154.6,4.59,36.76,320.38,1
9,75.87,118.72,3.49,60.04,332.4,0
26,84.21,158.27,6.63,62.24,247.73,1
28,95.84,149.6,8.28,54.4,350.5,1
2,87.23,110.05,3.58,31.65,269.37,0
44,105.16,157.23,5.37,58.89,340.45,1
17,64.37,120.21,1.59,33.78,246.6,0
23,87.27,114.3,2.71,25.81,233.73,0
8,57.56,118.57,2.9,75.35,281.88,0
3,71.3,109.17,2.75,77.62,309.79,0
33,79.63,110.8,3.2,79.36,233.77,0
23,100.3,145.78,5.96,78.15,291.82,1
7,84.71,101.98,4.57,58.24,227.85,0
28,74.76,121.49,3.51,75.9,200.31,0
32,105.61,170.94,4.97,67.17,307.04,1
1,73.75,96.55,3.77,50.97,167.51,0
38,75.58,106.08,2.69,64.5,269.68,0
35,64.23,127.31,1.86,26.04,329.55,0
26,78.04,92.61,1.57,75.0,205.33,0
21,64.73,93.53,3.66,43.9,183.6,0
44,71.99,117.59,1.53,21.69,288.11,0
44,99.65,112.63,2.94,30.25,209.24,0
37,96.18,112.73,2.78,77.74,219.52,0
40,106.26,161.64,6.01,66.44,316.56,1
47,90.34,119.0,2.78,49.43,181.83,0
28,102.0,134.62,3.9,49.71,305.76,1
10,79.15,112.68,4.77,31.8,206.6,0
11,75.3,125.1,2.7,49.43,236.57,0
40,69.64,99.09,2.84,43.22,224.26,0
22,74.72,116.58,3.27,41.81,237.35,0
44,113.22,179.64,5.05,56.67,319.24,1
16,98.26,148.66,5.59,52.47,401.31,1
1,59.82,144.35,4.09,20.71,321.33,0
37,75.9,96.95,5.45,33.16,258.81,0
45,93.81,148.84,5.92,42.65,338.36,1
17,102.96,130.55,7.07,65.31,281.39,1
40,79.23,133.74,3.85,42.58,273.78,0
41,90.21,141.09,4.79,66.71,253.36,1
29,58.15,136.63,3.81,55.21,240.01,0
15,84.99,142.48,7.95,66.57,364.84,1
49,77.99,142.7,6.29,25.11,369.8,1
49,83.87,131.89,5.06,59.71,235.18,0
12,98.59,140.23,5.74,41.08,337.25,1
9,106.92,166.87,4.93,22.28,381.41,1
12,53.38,103.81,3.26,24.34,234.81,0
36,93.0,155.23,9.05,54.81,301.15,1
26,75.41,115.46,1.83,23.12,264.83,0
17,75.11,104.04,1.67,30.88,280.4,0
39,71.57,131.5,3.4,33.61,315.82,0
14,74.07,140.69,3.96,27.38,258.34,0
41,82.08,136.6,3.06,39.62,255.45,0
23,65.31,146.53,1.52,57.12,184.88,0
2,72.78,144.22,3.11,57.15,269.69,0
2,68.5,110.77,4.01,47.06,216.58,0
26,89.59,103.45,3.93,36.69,289.64,0
18,80.86,130.15,2.82,25.91,280.14,0
18,84.38,106.97,3.65,20.09,296.69,0
3,84.71,120.0,1.42,70.32,280.15,0
38,100.14,146.76,5.15,78.69,288.08,1
45,65.73,118.54,3.05,25.97,172.74,0
42,72.45,102.87,5.38,42.03,252.93,0
12,88.77,118.02,3.76,21.21,248.16,0
7,94.14,132.47,4.09,62.74,288.04,1
1,85.75,130.73,1.86,62.27,208.92,0
29,94.94,153.84,5.65,25.39,356.48,1
1,88.18,140.58,7.46,42.78,315.4,1
7,86.29,111.11,4.72,56.93,230.41,0
22,126.01,134.31,7.69,44.4,346.53,1
16,87.05,143.76,5.97,37.07,325.54,1
46,94.01,150.06,5.95,23.68,366.99,1
6,106.59,143.17,7.98,77.05,385.79,1
4,81.97,106.54,2.89,73.27,275.89,0
4,73.2,154.18,4.54,52.24,207.73,0
48,100.21,172.39,7.24,51.75,364.21,1
42,70.95,126.31,2.08,34.13,251.79,0
24,80.91,157.85,10.27,77.5,291.48,1
13,86.6,144.42,7.08,54.88,333.46,1
15,86.12,166.42,6.35,24.49,361.98,1
26,102.08,154.11,6.88,62.56,289.79,1
16,107.98,146.49,7.67,53.0,306.03,1
1,100.04,146.11,7.92,49.81,354.14,1
35,75.25,129.83,3.86,26.63,198.2,0
11,122.09,145.39,6.54,23.18,346.28,1
5,76.52,116.63,2.7,32.77,222.21,0
20,107.38,143.51,5.91,37.49,313.8,1
2,87.92,168.13,7.88,38.28,356.29,1
15,109.15,142.86,5.4,79.41,287.77,1
31,97.54,160.53,8.77,45.62,291.06,1
4,65.27,90.22,3.49,27.16,284.92,0
20,71.15,113.79,2.14,52.51,238.52,0
33,104.9,138.87,3.86,21.99,338.27,1
22,79.72,136.78,2.8,22.62,250.48,0
50,86.03,153.32,7.38,76.29,327.76,1
2,101.41,162.8,6.59,73.38,374.24,1
19,86.42,120.85,3.89,25.67,308.36,0
47,61.83,119.66,5.9,39.23,167.48,0
30,96.48,151.99,6.92,73.22,352.59,1
32,70.97,127.99,2.47,28.96,322.41,0
33,87.25,119.76,5.81,68.49,303.61,1
36,110.97,137.73,5.48,48.08,366.2,1
45,85.84,158.32,1.83,41.32,266.03,0
42,105.2,139.94,4.53,52.86,412.74,1
49,73.97,94.19,4.18,36.86,274.76,0
40,105.42,153.11,5.78,68.97,321.86,1
6,81.33,126.79,3.2,74.88,276.08,0
50,74.37,126.68,2.49,22.76,248.79,0
26,96.83,137.97,4.76,20.24,232.89,1
45,73.9,139.62,2.58,46.8,198.61,0
37,86.33,167.79,7.78,42.85,320.73,1
15,57.95,123.29,3.53,59.04,225.32,0
27,74.98,130.23,3.42,68.76,182.16,0
45,78.71,106.08,2.3,38.83,342.45,0
43,92.69,140.94,5.59,24.75,311.78,1
42,59.38,128.23,3.73,38.6,205.28,0
48,68.37,113.2,3.35,73.69,235.44,0
49,94.73,129.97,4.66,78.33,368.99,1
38,74.41,112.44,3.01,56.57,258.62,0
43,62.88,121.14,3.99,46.28,214.94,0
18,100.39,161.44,5.01,63.34,281.16,1
22,125.93,171.09,7.17,54.4,373.52,1
28,102.15,153.25,7.38,50.52,336.74,1
34,98.85,135.71,6.13,28.84,253.08,1
29,99.21,152.18,5.97,62.42,340.25,1
32,89.99,111.27,6.25,56.37,267.5,1
11,56.81,121.21,3.12,42.68,286.95,0
13,74.34,122.17,4.02,22.32,220.81,0
3,104.13,142.44,8.22,26.66,358.82,1
22,86.22,145.58,3.62,29.39,270.87,0
43,88.0,141.0,7.89,36.27,331.08,1
21,75.33,132.11,2.46,60.89,199.46,0
12,104.91,184.46,6.37,47.72,257.13,1
44,75.38,121.37,3.64,20.89,287.42,0
41,76.07,138.02,7.12,70.93,215.05,0
4,103.41,149.69,6.35,39.27,299.83,1
23,89.3,159.51,6.61,58.62,324.32,1
49,65.66,128.95,4.08,46.74,235.26,0
23,87.95,156.24,5.2,75.9,335.4,1
10,80.05,108.37,2.79,70.43,238.76,0
30,77.03,109.12,1.98,73.71,209.32,0
19,75.67,101.74,1.48,41.38,348.93,0
17,112.1,177.25,5.51,45.3,294.29,1
28,91.79,139.45,5.75,39.6,319.67,1
18,75.92,123.79,2.79,50.87,241.87,0
28,112.4,129.38,3.56,60.42,281.11,1
47,96.23,129.24,5.76,39.26,337.99,1
26,90.83,104.78,3.85,23.12,228.87,0
24,106.65,157.24,5.91,69.48,356.52,1
3,73.27,128.14,3.35,31.47,237.42,0
28,95.82,177.37,5.44,55.47,243.04,1
48,74.6,114.52,3.32,49.09,216.41,0
26,75.38,99.55,3.18,49.5,246.58,0
24,78.56,113.69,0.24,55.15,289.72,0
36,84.89,125.63,3.11,29.77,240.61,0
16,93.15,163.13,9.12,74.07,351.72,1
30,109.04,140.84,6.46,72.72,324.84,1
10,106.97,141.3,8.3,63.72,401.95,1
30,74.68,115.96,5.84,55.12,256.77,0
25,65.5,111.04,4.62,50.22,245.55,0
14,118.69,152.73,8.02,79.29,298.78,1
13,103.97,132.82,6.29,21.88,392.56,1
27,83.89,112.47,2.23,36.07,212.63,0
24,83.43,116.07,0.53,66.16,245.64,0
41,96.62,152.82,6.52,56.48,366.34,1
41,82.24,104.87,4.04,31.83,210.71,0
19,84.29,108.76,3.88,27.9,194.15,0
35,78.76,125.61,4.67,48.07,378.29,1
13,70.9,80.39,3.77,21.92,237.17,0
38,94.9,154.08,7.78,50.76,338.23,1
8,82.73,150.3,3.72,45.97,233.08,0
45,61.59,129.53,2.85,36.11,285.01,0
46,82.02,142.61,5.63,20.77,205.17,0
11,87.87,127.66,3.13,35.72,316.11,0
24,67.43,93.4,3.96,43.57,266.43,0
